,missing_rate,parameter,STD_300,IMSE_300,STD_600,IMSE_600,STD_1200,IMSE_1200,STD_1800,IMSE_1800
1,0%,pi_1,0.036,0.042,0.026,0.03,0.02,0.022,0.015,0.018
2,0%,mu_11,0.58,0.371,0.278,0.173,0.194,0.11,0.152,0.089
3,0%,mu_12,0.394,0.251,0.198,0.119,0.138,0.076,0.111,0.061
4,0%,mu_21,0.123,0.098,0.091,0.067,0.062,0.047,0.053,0.037
5,0%,mu_22,0.165,0.127,0.115,0.085,0.081,0.06,0.068,0.048
6,0%,Sigma_111,1.425,1.024,0.666,0.508,0.45,0.33,0.345,0.27
7,0%,Sigma_121,0.969,0.68,0.453,0.339,0.308,0.221,0.24,0.181
8,0%,Sigma_122,0.686,0.474,0.326,0.24,0.223,0.157,0.174,0.128
9,0%,Sigma_211,0.195,0.161,0.14,0.106,0.095,0.072,0.074,0.057
10,0%,Sigma_221,0.256,0.203,0.167,0.133,0.115,0.091,0.089,0.073
11,0%,Sigma_222,0.42,0.309,0.257,0.2,0.172,0.138,0.137,0.111
12,10%,pi_1,0.038,0.046,0.029,0.033,0.019,0.023,0.017,0.019
13,10%,mu_11,1.017,0.771,0.371,0.23,0.265,0.137,0.144,0.096
14,10%,mu_12,0.679,0.506,0.257,0.157,0.181,0.093,0.103,0.066
15,10%,mu_21,0.16,0.115,0.087,0.07,0.06,0.048,0.048,0.039
16,10%,mu_22,0.206,0.147,0.116,0.09,0.079,0.061,0.063,0.05
17,10%,Sigma_111,3.85,2.661,1.142,0.711,0.714,0.427,0.372,0.303
18,10%,Sigma_121,2.396,1.688,0.756,0.472,0.463,0.285,0.257,0.203
19,10%,Sigma_122,1.555,1.108,0.519,0.33,0.312,0.2,0.188,0.144
20,10%,Sigma_211,0.356,0.215,0.153,0.116,0.097,0.077,0.071,0.062
21,10%,Sigma_221,0.426,0.27,0.184,0.147,0.115,0.097,0.087,0.079
22,10%,Sigma_222,0.557,0.393,0.274,0.219,0.171,0.145,0.134,0.119
23,20%,pi_1,0.053,0.05,0.037,0.037,0.025,0.026,0.023,0.021
24,20%,mu_11,2.72,5.146,0.471,0.3,0.297,0.151,0.177,0.114
25,20%,mu_12,1.769,3.314,0.325,0.202,0.201,0.102,0.125,0.078
26,20%,mu_21,0.197,0.134,0.12,0.084,0.068,0.055,0.052,0.043
27,20%,mu_22,0.219,0.163,0.148,0.103,0.089,0.068,0.067,0.053
28,20%,Sigma_111,9.158,17.148,1.771,1,1.191,0.492,0.663,0.375
29,20%,Sigma_121,5.959,11.049,1.185,0.662,0.77,0.327,0.437,0.25
30,20%,Sigma_122,3.936,7.204,0.811,0.457,0.509,0.228,0.298,0.177
31,20%,Sigma_211,0.709,0.31,0.254,0.152,0.107,0.092,0.084,0.07
32,20%,Sigma_221,0.696,0.354,0.289,0.187,0.124,0.114,0.095,0.088
33,20%,Sigma_222,0.735,0.464,0.373,0.267,0.172,0.167,0.134,0.129
34,30%,pi_1,0.067,0.062,0.046,0.042,0.047,0.031,0.038,0.025
35,30%,mu_11,3.028,7.006,1.024,0.812,0.614,0.324,0.283,0.154
36,30%,mu_12,2.131,4.903,0.721,0.562,0.433,0.224,0.2,0.106
37,30%,mu_21,0.267,0.196,0.137,0.097,0.068,0.059,0.06,0.049
38,30%,mu_22,0.302,0.216,0.163,0.114,0.098,0.072,0.081,0.06
39,30%,Sigma_111,16.698,39.842,5.142,3.526,3.034,1.298,1.506,0.557
40,30%,Sigma_121,11.621,27.737,3.599,2.429,2.135,0.89,1.059,0.378
41,30%,Sigma_122,8.236,19.494,2.532,1.695,1.516,0.624,0.752,0.267
42,30%,Sigma_211,0.872,0.473,0.38,0.192,0.131,0.105,0.117,0.088
43,30%,Sigma_221,0.804,0.507,0.344,0.222,0.137,0.129,0.122,0.107
44,30%,Sigma_222,0.8,0.612,0.368,0.3,0.172,0.183,0.145,0.152
