"","est_GMM","se_GMM","est_FMTMVN","se_FMTMVN"
"w1",0.347,0.005,0.363,0.006
"w2",0.409,0.006,0.417,0.006
"w3",0.123,0.004,0.101,0.004
"mu_1,1",151.744,1.293,143.611,2.783
"mu_1,2",128.339,1.792,32.377,11.709
"mu_1,3",141.657,2.881,67.96,13.473
"mu_1,4",751.281,0.439,755.426,1.061
"mu_2,1",117.732,1.509,95.8,3.065
"mu_2,2",750.001,0.69,751.158,1.009
"mu_2,3",196.414,4.949,117.581,9.804
"mu_2,4",718.147,0.528,718.517,0.839
"mu_3,1",467.81,11.151,664.011,44.441
"mu_3,2",260.032,10.166,99.524,26.292
"mu_3,3",315.272,12.146,106.977,57.944
"mu_3,4",359.697,10.942,179.549,34.501
"mu_4,1",624.159,1.193,622.382,1.352
"mu_4,2",754.115,1.255,753.514,1.358
"mu_4,3",188.763,6.302,140.068,12.607
"mu_4,4",187.418,2.187,191.749,2.675
"S_1,1,1",4384.899,140.232,5036.198,177.941
"S_1,2,1",-30.789,117.116,288.928,398.912
"S_1,3,1",638.846,175.461,2432.681,455.982
"S_1,4,1",159.024,30.255,16.084,40.073
"S_1,2,2",6821.317,236.006,24016.852,1451.888
"S_1,3,2",-498.212,247.37,3722.418,1743.013
"S_1,4,2",-18.761,39.7,-285.787,142.071
"S_1,3,3",11340.23,398.737,29501.793,2144.973
"S_1,4,3",-368.007,56.18,-1344.464,167.682
"S_1,4,4",550.147,12.654,670.002,18.603
"S_2,1,1",5031.346,158.004,7744.59,278.834
"S_2,2,1",-98.483,58.752,-402.873,92.303
"S_2,3,1",2439.082,327.906,3330.532,663.991
"S_2,4,1",-7.417,44.32,-252.919,73.992
"S_2,2,2",1431.732,35.292,1652.963,40.439
"S_2,3,2",-49.127,156.271,-1216.464,240.464
"S_2,4,2",943.788,23.805,1159.919,29.314
"S_2,3,3",26538.394,1211,38602.249,2063.539
"S_2,4,3",30.586,115.219,-924.935,192.295
"S_2,4,4",844.881,18.053,1104.196,23.498
"S_3,1,1",59352.224,7640.46,65751.403,11075.273
"S_3,2,1",-24470.041,3691.064,-20148.261,4242.441
"S_3,3,1",-24713.013,3754.904,-56833.43,11359.362
"S_3,4,1",-48181.881,7009.557,-45089.057,8520.049
"S_3,2,2",43901.877,3237.25,42446.124,3762.745
"S_3,3,2",4452.621,2303.577,28531.155,6027.831
"S_3,4,2",24766.875,3634.718,12813.657,3245.16
"S_3,3,3",61562.174,3563.331,121155.644,16172.877
"S_3,4,3",21529.017,3691.075,37770.563,8914.616
"S_3,4,4",59469.235,7035.159,50881.227,7142.135
"S_4,1,1",1450.493,59.446,1404.153,60.634
"S_4,2,1",1087.054,55.927,1050.4,56.077
"S_4,3,1",461.925,244.188,487.129,363.163
"S_4,4,1",226.217,81.001,238.341,85.778
"S_4,2,2",1428.664,64.772,1405.441,64.614
"S_4,3,2",57.644,235.7,-14.328,345.972
"S_4,4,2",101.683,82.154,121.001,87.76
"S_4,3,3",19623.771,1419.309,28990.895,3089.22
"S_4,4,3",-1572.889,412.785,-2323.272,654.965
"S_4,4,4",4705.76,223.336,4922.117,248.796
